ID,Gender,Age,Major,Sleep,Study,Social_Hours,Attendance,Attendance_Grade,P_CGPA,F_CGPA,CGPA_Diff,Trend,Efficiency,Top_15
ID00001,Male,20,Engineering,9.1,4.4,8,83.9,Normal,2.65,2.78,0.1299999999999999,Other,0.63,False
ID00002,Female,24,Business,4.0,4.0,4,80.7,Normal,3.58,3.76,0.17999999999999972,Other,0.94,False
ID00003,Female,20,Mathematics,6.7,3.9,4,91.5,Excellent,3.29,3.75,0.45999999999999996,Other,0.96,False
ID00004,Female,23,Engineering,4.0,8.8,6,73.9,Danger,3.48,3.69,0.20999999999999996,Other,0.42,False
ID00005,Male,21,Economics,8.7,2.2,6,79.8,Normal,2.66,2.34,-0.3200000000000003,Other,1.06,False
ID00006,Male,20,Business,7.0,3.5,7,86.8,Normal,2.16,2.41,0.25,Other,0.69,False
ID00007,Male,22,Mathematics,8.7,3.6,5,77.5,Normal,2.66,2.69,0.029999999999999805,Maintain,0.75,False
ID00008,Female,20,Psychology,7.4,4.7,4,95.0,Excellent,3.44,3.76,0.31999999999999984,Other,0.8,False
ID00009,Female,22,Computer Science,5.0,4.3,12,100.0,Excellent,4.0,4.0,0.0,Maintain,0.93,True
ID00010,Female,24,Economics,5.5,4.1,3,73.7,Danger,2.89,3.01,0.11999999999999966,Other,0.73,False
ID00011,Male,20,Business,6.8,2.2,14,60.0,Danger,4.0,4.0,0.0,Maintain,1.82,True
ID00012,Female,22,Computer Science,7.9,4.3,4,55.0,Danger,3.51,3.38,-0.1299999999999999,Other,0.79,False
ID00013,Female,20,Psychology,7.1,6.0,9,82.7,Normal,2.4,2.75,0.3500000000000001,Other,0.46,False
ID00014,Male,24,Engineering,7.3,4.8,6,75.1,Normal,3.21,3.2,-0.009999999999999787,Maintain,0.67,False
ID00015,Male,20,Engineering,6.5,2.1,10,88.1,Normal,3.53,3.71,0.18000000000000016,Other,1.77,False
ID00016,Male,19,Mathematics,8.7,4.5,11,87.0,Normal,1.89,2.03,0.1399999999999999,Other,0.45,False
ID00017,Male,22,Business,7.2,4.3,8,61.0,Danger,3.42,3.36,-0.06000000000000005,Maintain,0.78,False
ID00018,Male,24,Business,7.1,3.4,14,57.8,Danger,3.69,3.31,-0.3799999999999999,Other,0.97,False
ID00019,Male,22,Mathematics,7.4,4.8,8,89.4,Normal,3.3,3.75,0.4500000000000002,Other,0.78,False
ID00020,Male,22,Computer Science,6.4,2.9,11,87.0,Normal,3.07,3.41,0.3400000000000003,Other,1.18,False
