Student_ID,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Grade_Diff,Grade_Group
ID00009,100.0,4.3,4.0,5.0,12,4.0,0.0,1_상위권 유지(Top 15%)
ID00011,60.0,2.2,4.0,6.8,14,4.0,0.0,1_상위권 유지(Top 15%)
ID00042,79.2,11.9,1.87,8.0,9,2.38,0.5099999999999998,2_성적 0.5이상 상승
ID00045,90.1,3.9,3.69,6.2,4,3.97,0.28000000000000025,1_상위권 유지(Top 15%)
ID00048,81.0,4.5,3.7,9.1,5,3.9,0.19999999999999973,1_상위권 유지(Top 15%)
ID00057,69.1,14.0,2.89,8.0,7,3.56,0.6699999999999999,2_성적 0.5이상 상승
ID00067,93.5,7.0,3.11,7.4,13,3.61,0.5,2_성적 0.5이상 상승
ID00074,91.5,4.6,3.64,7.5,4,3.92,0.2799999999999998,1_상위권 유지(Top 15%)
ID00087,69.9,13.7,3.29,9.7,10,3.83,0.54,2_성적 0.5이상 상승
ID00090,87.7,10.7,3.02,7.6,9,3.88,0.8599999999999999,2_성적 0.5이상 상승
ID00093,94.4,6.7,3.32,7.8,6,3.83,0.5100000000000002,2_성적 0.5이상 상승
ID00097,92.1,1.0,3.89,5.1,8,4.0,0.10999999999999988,1_상위권 유지(Top 15%)
ID00098,82.7,9.4,2.47,7.5,10,3.14,0.6699999999999999,2_성적 0.5이상 상승
ID00102,90.2,5.4,3.72,8.9,8,3.99,0.27,1_상위권 유지(Top 15%)
ID00116,79.6,6.8,3.93,8.8,8,3.88,-0.050000000000000266,1_상위권 유지(Top 15%)
ID00117,99.3,11.9,2.68,6.6,12,3.59,0.9099999999999997,2_성적 0.5이상 상승
ID00125,79.6,12.5,3.79,8.5,11,4.0,0.20999999999999996,1_상위권 유지(Top 15%)
ID00128,100.0,5.9,2.44,7.8,6,3.06,0.6200000000000001,2_성적 0.5이상 상승
ID00133,97.3,4.0,4.0,7.1,9,4.0,0.0,1_상위권 유지(Top 15%)
ID00138,81.7,4.6,3.96,7.9,6,4.0,0.040000000000000036,1_상위권 유지(Top 15%)
ID00139,80.4,0.7,3.8,7.6,9,3.89,0.0900000000000003,1_상위권 유지(Top 15%)
ID00143,81.6,5.3,2.95,6.9,5,3.55,0.5999999999999996,2_성적 0.5이상 상승
ID00156,100.0,8.3,3.06,6.1,6,3.66,0.6000000000000001,2_성적 0.5이상 상승
ID00165,82.0,13.2,2.22,8.3,8,2.8,0.5799999999999996,2_성적 0.5이상 상승
ID00167,89.6,4.5,3.92,6.4,5,4.0,0.08000000000000007,1_상위권 유지(Top 15%)
ID00168,100.0,7.6,3.22,6.4,4,3.95,0.73,2_성적 0.5이상 상승
ID00184,95.4,3.6,3.85,5.2,10,3.98,0.1299999999999999,1_상위권 유지(Top 15%)
ID00191,92.3,7.4,3.46,5.4,12,3.96,0.5,2_성적 0.5이상 상승
ID00195,85.5,4.5,3.84,7.1,5,4.0,0.16000000000000014,1_상위권 유지(Top 15%)
ID00200,89.4,7.6,2.98,7.0,11,3.69,0.71,2_성적 0.5이상 상승
ID00205,100.0,8.6,3.72,6.9,10,4.0,0.2799999999999998,1_상위권 유지(Top 15%)
ID00206,84.1,6.7,3.88,6.6,3,4.0,0.1200000000000001,1_상위권 유지(Top 15%)
ID00208,98.5,10.2,2.64,4.4,5,3.36,0.7199999999999998,2_성적 0.5이상 상승
ID00214,74.6,7.0,4.0,8.5,7,4.0,0.0,1_상위권 유지(Top 15%)
ID00223,91.8,6.5,2.4,6.8,4,2.92,0.52,2_성적 0.5이상 상승
ID00226,93.6,7.0,1.97,7.4,9,2.64,0.6700000000000002,2_성적 0.5이상 상승
ID00228,95.9,5.2,2.07,6.8,9,2.65,0.5800000000000001,2_성적 0.5이상 상승
ID00233,100.0,2.3,4.0,7.9,3,4.0,0.0,1_상위권 유지(Top 15%)
ID00246,100.0,2.3,3.73,6.4,9,4.0,0.27,1_상위권 유지(Top 15%)
ID00252,100.0,8.8,3.79,6.6,8,4.0,0.20999999999999996,1_상위권 유지(Top 15%)
ID00265,96.4,4.9,3.94,7.9,8,4.0,0.06000000000000005,1_상위권 유지(Top 15%)
ID00270,93.1,7.7,2.48,7.7,5,3.02,0.54,2_성적 0.5이상 상승
ID00273,85.2,2.5,3.73,7.0,12,3.9,0.16999999999999993,1_상위권 유지(Top 15%)
ID00279,52.1,4.1,3.23,5.7,11,2.72,-0.5099999999999998,3_성적 0.5이하 하락
ID00287,93.6,8.7,3.43,7.3,8,4.0,0.5699999999999998,2_성적 0.5이상 상승
ID00289,100.0,9.4,3.72,4.5,4,4.0,0.2799999999999998,1_상위권 유지(Top 15%)
ID00292,89.1,10.9,4.0,5.4,4,4.0,0.0,1_상위권 유지(Top 15%)
ID00295,82.1,8.7,3.47,6.8,7,4.0,0.5299999999999998,2_성적 0.5이상 상승
ID00308,91.3,7.5,2.73,6.9,9,3.37,0.6400000000000001,2_성적 0.5이상 상승
ID00309,94.9,2.2,3.8,7.7,8,4.0,0.20000000000000018,1_상위권 유지(Top 15%)
ID00310,88.5,2.9,4.0,6.8,10,4.0,0.0,1_상위권 유지(Top 15%)
ID00312,93.6,7.5,2.24,6.9,7,2.94,0.6999999999999997,2_성적 0.5이상 상승
ID00313,80.6,6.9,3.16,8.5,7,3.75,0.5899999999999999,2_성적 0.5이상 상승
ID00315,89.7,3.4,4.0,7.1,14,4.0,0.0,1_상위권 유지(Top 15%)
ID00316,93.6,3.2,3.93,7.4,7,4.0,0.06999999999999984,1_상위권 유지(Top 15%)
ID00318,100.0,11.2,2.81,5.4,8,3.62,0.81,2_성적 0.5이상 상승
ID00333,100.0,3.6,4.0,9.3,6,4.0,0.0,1_상위권 유지(Top 15%)
ID00337,69.6,5.2,4.0,6.1,6,4.0,0.0,1_상위권 유지(Top 15%)
ID00342,90.0,4.1,3.92,8.4,14,4.0,0.08000000000000007,1_상위권 유지(Top 15%)
ID00344,84.0,3.2,3.81,9.2,6,4.0,0.18999999999999995,1_상위권 유지(Top 15%)
ID00345,59.4,2.2,2.75,9.6,4,2.18,-0.5699999999999998,3_성적 0.5이하 하락
ID00352,90.2,9.0,2.6,5.9,10,3.19,0.5899999999999999,2_성적 0.5이상 상승
ID00355,100.0,6.4,3.77,6.7,13,4.0,0.22999999999999998,1_상위권 유지(Top 15%)
ID00363,68.2,4.4,4.0,9.3,6,3.91,-0.08999999999999986,1_상위권 유지(Top 15%)
ID00364,59.4,2.7,3.35,9.0,9,2.81,-0.54,3_성적 0.5이하 하락
ID00368,98.3,5.1,4.0,5.3,10,4.0,0.0,1_상위권 유지(Top 15%)
ID00372,93.0,7.7,3.49,9.3,2,3.99,0.5,2_성적 0.5이상 상승
ID00381,99.1,4.9,3.94,8.6,10,4.0,0.06000000000000005,1_상위권 유지(Top 15%)
ID00387,58.5,2.3,3.86,4.5,6,3.25,-0.6099999999999999,3_성적 0.5이하 하락
ID00393,100.0,8.2,4.0,7.6,10,4.0,0.0,1_상위권 유지(Top 15%)
ID00405,90.8,4.6,3.78,5.6,12,4.0,0.2200000000000002,1_상위권 유지(Top 15%)
ID00407,100.0,7.6,2.71,7.8,8,3.29,0.5800000000000001,2_성적 0.5이상 상승
ID00410,100.0,2.6,4.0,4.0,4,4.0,0.0,1_상위권 유지(Top 15%)
ID00420,100.0,4.3,2.93,6.6,11,3.48,0.5499999999999998,2_성적 0.5이상 상승
ID00423,71.0,8.1,3.75,4.8,8,4.0,0.25,1_상위권 유지(Top 15%)
ID00426,56.1,2.3,3.58,8.1,11,3.07,-0.5100000000000002,3_성적 0.5이하 하락
ID00431,70.0,5.6,4.0,7.1,7,4.0,0.0,1_상위권 유지(Top 15%)
ID00434,57.0,2.7,2.91,8.1,6,2.36,-0.5500000000000003,3_성적 0.5이하 하락
ID00439,100.0,13.3,2.65,6.2,8,3.46,0.81,2_성적 0.5이상 상승
ID00448,98.4,6.3,3.31,7.2,9,3.95,0.6400000000000001,2_성적 0.5이상 상승
ID00453,100.0,3.1,3.99,6.3,10,4.0,0.009999999999999787,1_상위권 유지(Top 15%)
ID00457,86.9,2.4,3.88,7.3,12,3.98,0.10000000000000009,1_상위권 유지(Top 15%)
ID00458,69.1,5.6,4.0,6.8,11,4.0,0.0,1_상위권 유지(Top 15%)
ID00459,91.3,7.7,3.82,8.2,9,4.0,0.18000000000000016,1_상위권 유지(Top 15%)
ID00463,99.9,4.7,3.28,7.3,3,3.82,0.54,2_성적 0.5이상 상승
ID00472,83.7,8.4,3.72,7.7,11,4.0,0.2799999999999998,1_상위권 유지(Top 15%)
ID00473,83.1,3.5,3.77,4.7,4,4.0,0.22999999999999998,1_상위권 유지(Top 15%)
ID00492,98.1,7.6,3.09,9.9,7,3.6,0.5100000000000002,2_성적 0.5이상 상승
ID00493,92.6,3.7,3.89,5.1,7,4.0,0.10999999999999988,1_상위권 유지(Top 15%)
ID00494,82.2,7.0,2.47,6.2,7,3.11,0.6399999999999997,2_성적 0.5이상 상승
ID00500,86.2,10.2,3.34,7.2,6,4.0,0.6600000000000001,2_성적 0.5이상 상승
ID00501,100.0,5.2,3.85,5.0,9,3.97,0.1200000000000001,1_상위권 유지(Top 15%)
ID00523,100.0,5.4,4.0,9.1,7,4.0,0.0,1_상위권 유지(Top 15%)
ID00547,100.0,6.1,4.0,5.6,11,4.0,0.0,1_상위권 유지(Top 15%)
ID00549,83.2,5.2,2.78,7.7,10,3.33,0.5500000000000003,2_성적 0.5이상 상승
ID00550,100.0,4.3,3.31,6.2,7,3.84,0.5299999999999998,2_성적 0.5이상 상승
ID00552,84.5,4.0,3.67,6.6,9,3.91,0.2400000000000002,1_상위권 유지(Top 15%)
ID00554,95.5,3.5,4.0,5.4,9,4.0,0.0,1_상위권 유지(Top 15%)
ID00562,81.9,4.2,2.8,6.8,8,3.3,0.5,2_성적 0.5이상 상승
ID00564,100.0,7.0,2.91,4.9,7,3.49,0.5800000000000001,2_성적 0.5이상 상승
ID00566,78.6,8.0,3.78,6.2,6,4.0,0.2200000000000002,1_상위권 유지(Top 15%)
ID00570,71.4,1.0,4.0,8.0,9,3.98,-0.020000000000000018,1_상위권 유지(Top 15%)
ID00580,89.2,7.5,3.48,6.6,7,4.0,0.52,2_성적 0.5이상 상승
ID00582,86.7,2.3,3.79,6.7,8,3.98,0.18999999999999995,1_상위권 유지(Top 15%)
