ID,Gender,Age,Major,Sleep,Study,Social_Hours,Attendance,Lifestyle_Cluster,P_CGPA,F_CGPA,CGPA_Diff
ID00001,Male,20,Engineering,9.1,4.4,8,83.9,Type_A,2.65,2.78,0.1299999999999999
ID00002,Female,24,Business,4.0,4.0,4,80.7,Type_B,3.58,3.76,0.17999999999999972
ID00003,Female,20,Mathematics,6.7,3.9,4,91.5,Type_A,3.29,3.75,0.45999999999999996
ID00004,Female,23,Engineering,4.0,8.8,6,73.9,Type_B,3.48,3.69,0.20999999999999996
ID00005,Male,21,Economics,8.7,2.2,6,79.8,Type_A,2.66,2.34,-0.3200000000000003
ID00006,Male,20,Business,7.0,3.5,7,86.8,Type_A,2.16,2.41,0.25
ID00007,Male,22,Mathematics,8.7,3.6,5,77.5,Type_A,2.66,2.69,0.029999999999999805
ID00008,Female,20,Psychology,7.4,4.7,4,95.0,Type_A,3.44,3.76,0.31999999999999984
ID00009,Female,22,Computer Science,5.0,4.3,12,100.0,Type_B,4.0,4.0,0.0
ID00010,Female,24,Economics,5.5,4.1,3,73.7,Type_C,2.89,3.01,0.11999999999999966
ID00011,Male,20,Business,6.8,2.2,14,60.0,Type_C,4.0,4.0,0.0
ID00012,Female,22,Computer Science,7.9,4.3,4,55.0,Type_C,3.51,3.38,-0.1299999999999999
ID00013,Female,20,Psychology,7.1,6.0,9,82.7,Type_B,2.4,2.75,0.3500000000000001
ID00014,Male,24,Engineering,7.3,4.8,6,75.1,Type_C,3.21,3.2,-0.009999999999999787
ID00015,Male,20,Engineering,6.5,2.1,10,88.1,Type_B,3.53,3.71,0.18000000000000016
ID00016,Male,19,Mathematics,8.7,4.5,11,87.0,Type_A,1.89,2.03,0.1399999999999999
ID00017,Male,22,Business,7.2,4.3,8,61.0,Type_C,3.42,3.36,-0.06000000000000005
ID00018,Male,24,Business,7.1,3.4,14,57.8,Type_C,3.69,3.31,-0.3799999999999999
ID00019,Male,22,Mathematics,7.4,4.8,8,89.4,Type_A,3.3,3.75,0.4500000000000002
ID00020,Male,22,Computer Science,6.4,2.9,11,87.0,Type_B,3.07,3.41,0.3400000000000003
ID00021,Female,18,Engineering,6.5,6.2,7,78.6,Type_B,3.01,3.11,0.10000000000000009
ID00022,Male,24,Engineering,7.7,11.0,7,60.1,Type_C,2.98,3.26,0.2799999999999998
ID00023,Male,20,Business,8.2,6.5,8,92.1,Type_A,2.51,2.93,0.4200000000000004
ID00024,Male,22,Business,8.3,2.6,6,100.0,Type_A,2.76,2.79,0.03000000000000025
ID00025,Male,23,Mathematics,6.7,6.0,4,89.2,Type_A,2.89,3.2,0.31000000000000005
ID00026,Female,18,Psychology,7.2,6.8,12,72.3,Type_C,3.16,3.3,0.13999999999999968
ID00027,Male,19,Computer Science,6.1,5.2,9,85.7,Type_B,2.82,3.26,0.43999999999999995
ID00028,Male,22,Economics,8.2,5.6,5,64.5,Type_C,2.67,2.79,0.1200000000000001
ID00029,Female,22,Psychology,5.6,4.0,9,100.0,Type_B,3.48,3.8,0.31999999999999984
ID00030,Male,18,Psychology,7.3,1.9,7,86.2,Type_A,3.29,3.49,0.20000000000000018
ID00031,Female,20,Business,8.3,3.9,6,58.5,Type_C,2.83,2.54,-0.29000000000000004
ID00032,Male,23,Business,7.2,2.3,7,80.5,Type_A,3.35,3.5,0.1499999999999999
ID00033,Male,19,Business,7.5,3.7,8,91.9,Type_A,2.87,3.2,0.33000000000000007
ID00034,Female,22,Psychology,6.6,3.0,10,80.0,Type_C,3.13,3.48,0.3500000000000001
ID00035,Female,20,Computer Science,4.2,2.2,10,80.9,Type_B,3.59,3.85,0.26000000000000023
ID00036,Female,24,Business,6.0,8.6,7,66.6,Type_C,2.8,2.91,0.11000000000000032
ID00037,Male,23,Engineering,7.1,4.2,7,93.5,Type_A,2.51,2.71,0.20000000000000018
ID00038,Male,24,Computer Science,6.0,3.1,4,75.3,Type_C,3.03,2.86,-0.16999999999999993
ID00039,Female,23,Engineering,7.7,1.4,7,52.7,Type_C,2.42,2.06,-0.3599999999999999
ID00040,Male,19,Computer Science,4.8,6.6,4,79.4,Type_B,2.96,3.07,0.10999999999999988
ID00041,Male,21,Business,4.1,4.8,10,99.7,Type_B,2.96,3.05,0.08999999999999986
ID00042,Male,23,Economics,8.0,11.9,9,79.2,Type_B,1.87,2.38,0.5099999999999998
ID00043,Male,21,Mathematics,6.5,2.7,7,100.0,Type_A,3.37,3.76,0.3899999999999997
ID00044,Female,24,Business,7.5,8.2,10,91.4,Type_B,3.01,3.42,0.41000000000000014
ID00045,Male,23,Psychology,6.2,3.9,4,90.1,Type_A,3.69,3.97,0.28000000000000025
ID00046,Female,19,Economics,7.8,2.4,8,83.1,Type_A,3.21,3.62,0.41000000000000014
ID00047,Male,18,Psychology,9.0,3.3,8,84.0,Type_A,3.47,3.76,0.2899999999999996
ID00048,Male,19,Computer Science,9.1,4.5,5,81.0,Type_A,3.7,3.9,0.19999999999999973
ID00049,Male,19,Psychology,6.0,3.1,7,80.5,Type_B,3.03,3.43,0.40000000000000036
ID00050,Male,18,Economics,6.4,2.0,9,93.0,Type_B,3.1,3.5,0.3999999999999999
ID00051,Female,18,Economics,7.3,2.4,6,71.0,Type_C,2.31,2.2,-0.10999999999999988
ID00052,Female,20,Business,9.8,5.7,12,68.9,Type_C,3.72,3.83,0.10999999999999988
ID00053,Female,23,Engineering,5.3,2.2,10,68.2,Type_C,3.03,2.73,-0.2999999999999998
ID00054,Female,24,Business,5.3,2.9,11,100.0,Type_B,2.6,2.62,0.020000000000000018
ID00055,Female,20,Computer Science,8.3,2.2,7,93.0,Type_A,3.47,3.66,0.18999999999999995
ID00056,Female,18,Psychology,6.0,4.9,7,89.6,Type_B,2.01,2.4,0.3900000000000001
ID00057,Male,21,Engineering,8.0,14.0,7,69.1,Type_C,2.89,3.56,0.6699999999999999
ID00058,Male,24,Mathematics,6.1,5.6,9,94.4,Type_B,3.55,4.0,0.4500000000000002
ID00059,Male,21,Economics,7.5,2.6,5,83.3,Type_A,2.88,3.07,0.18999999999999995
ID00060,Male,19,Engineering,6.2,4.9,8,88.2,Type_B,2.74,3.14,0.3999999999999999
