Timestamp,성별 ,학번,나이 ,전공이 무엇인가요?,오전 1시-오전 2시,평균 하루 수면시간 ,하루 평균 공부시간(순공시간),본인의 전공에 가장 효과적인 공부 방식 2가지를 선택해 주세요,"주간 평균 사교활동 시간(동아리, 새새 모임, 놀러가기 등) ",한 학기 평균 결석 횟수 (수업 전체),직전 학기 성적 (ex. 25-2),그 전학기 성적 (ex. 25-1),성적에 가장 큰 영향을 주는것이 무엇이라고 생각하시나요?,이전 성적보다 최근 성적이 올랐다면 원인이 무엇이라고 생각하시나요?,이전 성적에 비해 최근 성적이 내려갔다면 원인이 무엇이라고 생각하시나요?
5/26/2026 13:47:43,남자,25,22,상담심리,오전 1시-오전 2시,7~8시간,2~3시간,"개념 복습, 암기",2~3시간,0,4.3,3.8,선택과집중,,PF과목이 너무 많았는데 Grade과목에서 A+을 받지못하고 A들만 받아서
5/26/2026 22:50:22,여자,25,21,생명과학,오전 3시-오전 4시,4~5시간,2~3시간,"개념 복습, 암기",6~7시간,15,3.8,3.3,순공시간,,동아리활동
5/28/2026 23:37:58,남자,23,23,기계공학,오전 3시-오전 4시,4~5시간,3~4시간,"실습, 암기",3~4시간,4,3.8,3.4,잠,마음가짐,-
5/28/2026 23:49:14,여자,25,20,상담심리,오전 1시-오전 2시,7~8시간,2~3시간,"개념 복습, 암기",4~5시간,1,4.1,2.8,영어강의,영어가 없었어요,
5/29/2026 0:06:32,여자,25,21,한국법,오전 3시-오전 4시,4~5시간,4~5시간,"개념 복습, 암기",6~7시간,2,3.8,3.7,공부를 꾸준히 하는 성실함,,
5/29/2026 1:09:12,남자,25,21,경영,오전 1시-오전 2시,7~8시간,1~2시간,"개념 복습, 암기",3~4시간,10,2.25,3.53,의지 부족,,동아리 활동으로 인한 체력 고갈 이슈
5/29/2026 2:02:31,여자,25,21,기계공학,오전 1시-오전 2시,4~5시간,4~5시간,"실습, 암기",2~3시간,3,3.7,4.02,공부량…,,
5/29/2026 10:11:43,남자,25,21,기계공학,오전 3시-오전 4시,4~5시간,1시간 미만,"실습, 암기",7시간 이상,1,3.9,3.7,동아리,성경의 이해 F받아서 성적이 낮음,모르죠
5/29/2026 11:37:14,여자,25,21,생명과학,오전 1시-오전 2시,6~7시간,6~7시간,"개념 복습, 암기",2~3시간,10,3.5,2.7,평소에 꾸준한 공부습관,공부습관 개선,공부를 안해서
5/29/2026 12:03:07,남자,23,23,생명과학,오전 1시-오전 2시,6~7시간,1~2시간,"개념 복습, 암기",7시간 이상,12,3.08,2.84,공부에 대한 마음가짐,.,동아리.. 를 핑계로 삼을 수 있다는 것
5/29/2026 13:57:51,여자,21,25,건설공학,오전 1시-오전 2시,6~7시간,3~4시간,"개념 복습, 과제",6~7시간,0,3.5,4.5,과목에 대한 적성,,교양수업들이 재미없고 배우는 이유를 몰라서 공부에 대한 흥미가 떨어짐
5/29/2026 14:27:15,남자,25,22,상담심리,오전 1시-오전 2시,5~6시간,2~3시간,"개념 복습, 과제",3~4시간,1,3.3,3.5,순공시간,ㅜㅜ,번아웃으로 인한 공부시간 미흡
5/29/2026 15:21:19,여자,24,22,경영,오전 1시-오전 2시,7~8시간,1~2시간,"개념 복습, 암기",4~5시간,2,3.5,3.5,개인 공부 시간,,
6/2/2026 13:20:48,남자,21,25,AI 융합,오전 1시-오전 2시,6~7시간,1~2시간,"개념 복습, 실습",2~3시간,0,4.2,4.13,공부에 투자한 시간,공부(복습)에 투자한 시간을 늘렸다.,
6/2/2026 13:23:17,남자,21,26,AI컴퓨터공학심화,오전 3시-오전 4시,4~5시간,2~3시간,"개념 복습, 실습",4~5시간,20,4.16,4.12,직관,드라마틱한 차이가 없는데요...3학점짜리 A+받았던게 캡스톤 2를 A+받으면서 생긴 차이,
